,handle,create_at,status_id
0,yankees,2020-09-20 14:52:30,1307694126473904128
1,Dbacks,2020-09-20 01:48:33,1307496840560926720
2,cubs,2020-09-20 03:26:53,1307521584865906689
3,reds,2020-09-20 14:57:36,1307695412850106368
4,royals,2020-09-20 02:07:40,1307501649653649409
5,dodgers,2020-09-20 04:11:26,1307532799877025794
6,twins,2020-09-20 14:00:00,1307680916463124483
7,mets,2020-09-20 14:01:43,1307681348052811776
8,phillies,2020-09-20 13:43:00,1307676636289130497
9,sfgiants,2020-09-19 22:44:18,1307450470579892224
10,rangers,2020-09-20 14:15:16,1307684757216677891
11,braves,2020-09-20 14:54:15,1307694569182683138
12,orioles,2020-09-20 02:41:30,1307510164833079296
13,redsox,2020-09-20 13:24:27,1307671968309800960
14,whitesox,2020-09-20 13:32:32,1307674005156044801
15,indians,2020-09-20 14:45:06,1307692265457025024
16,rockies,2020-09-20 02:44:38,1307510952217251840
17,tigers,2020-09-20 15:02:10,1307696561221177344
18,astros,2020-09-20 15:00:00,1307696014036357120
19,angels,2020-09-20 03:48:52,1307527119178670082
20,marlins,2020-09-20 13:46:05,1307677412608573440
21,brewers,2020-09-20 14:50:59,1307693745786302468
22,athletics,2020-09-19 23:39:15,1307464299737047041
23,pirates,2020-09-20 02:14:36,1307503397621370881
24,padres,2020-09-20 04:12:52,1307533157508419585
25,mariners,2020-09-20 05:15:46,1307548989114388482
26,cardinals,2020-09-20 13:45:24,1307677242768666625
27,raysbaseball,2020-09-20 14:51:46,1307693943379955714
28,bluejays,2020-09-20 14:27:52,1307687929091940352
29,nationals,2020-09-20 01:20:17,1307489728091086863
